Rank,Gender,Caste,College_Branch
567,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
654,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
1607,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
2185,F,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
2533,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
2671,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - BIO
2965,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
4207,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
7225,F,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
7438,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
9258,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
9724,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
10309,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
10406,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
10426,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - EEE
12935,M,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
13337.1,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
13875,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
14564,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
14821,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
15595,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
15623,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
15791,F,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
16019,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - GIN
17028,F,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
17258,F,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
17394,F,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
19481,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
19603,F,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
19834,M,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
20108,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
20149.1,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - CHE
21847,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
22159,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
22617,F,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
22642,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
22648,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
22691,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
22852,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - IST
31864,M,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
32426,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
35052,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
35225,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
35752,F,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
35893,F,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
37429,F,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
37637,F,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
38623,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
38907.1,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - CIV
39094,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
41057,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
41679,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
41887,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - MEC
44260,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
50369,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
52797,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
57646,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
58113,F,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
62816,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
64596,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
65855,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
66655,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - MET
68625,F,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
73950,F,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
75384,F,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
80388,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
81003,F,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
82829,F,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - CSE
83614,M,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
84138,F,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
87196.1,F,BC_E,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
89639,F,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
96642,M,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
105438,F,OC,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
118202,M,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
118395,M,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
118946,M,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
123916,M,BC_A,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
126188,F,BC_D,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
126720,F,BC_B,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
130496,F,BC_C,A U COLLEGE OF ENGG. VISAKHAPATNAM - ECE
137821,M,ST,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
142763,M,SC,A U COLLEGE OF ENGG. VISAKHAPATNAM - NAM
6175,M,BC_C,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
15040,F,BC_D,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
18663,F,BC_B,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
28210,F,BC_A,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
33662,M,OC,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
48836,F,SC,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
57155,M,BC_E,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
88844,F,ST,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM - INF
36295,F,BC_D,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - AGR
63989,F,OC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CIV
104609,F,SC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CIV
107190,F,BC_B,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CS
111207,F,OC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CS
113751,F,SC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CS
131147,M,BC_A,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
131819,F,BC_B,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
132604,M,BC_E,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
137047,M,ST,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
137959,M,BC_D,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
141898,M,BC_D,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - ECE
144506,F,OC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
149100,M,OC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - ECE
150590,M,BC_B,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - ECE
151281,M,SC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - ECE
151380,M,SC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - EEE
151566,F,SC,A.M.REDDY MEMORIAL COLL. OF ENGINEERING - CSE
66671,M,BC_D,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
75643,M,BC_B,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
79355,M,ST,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
83558,M,SC,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
85279,M,OC,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
85350,M,BC_E,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
86726,F,BC_E,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
88794,M,BC_A,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIC
91056.1,M,BC_D,A1 GLOBAL INST OF ENGG TECHNOLOGY - CIV
99279,M,BC_A,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSB
102049,M,SC,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSB
103959,M,OC,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSB
105156,M,BC_E,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSB
109872,M,ST,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSE
122499,F,BC_B,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
123019,F,BC_D,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
124441,M,BC_D,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSE
126364,F,BC_A,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
127561,F,SC,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
128785,F,OC,A1 GLOBAL INST OF ENGG TECHNOLOGY - AID
132273,M,BC_E,A1 GLOBAL INST OF ENGG TECHNOLOGY - CSE
